iter	Passed	Remaining
468	716	811
469	718	809
470	719	807
471	720	805
472	721	803
473	722	801
474	723	800
475	724	798
476	726	796
477	727	794
478	728	792
479	729	790
480	730	788
481	731	786
482	732	784
483	734	782
484	735	780
485	736	778
486	737	776
487	738	774
488	739	772
489	740	771
490	741	769
491	743	767
492	744	765
493	745	763
494	746	761
495	747	759
496	748	757
497	750	756
498	751	754
499	752	752
500	753	750
501	754	748
502	755	746
503	756	744
504	758	743
505	759	741
506	760	739
507	761	737
508	762	735
509	763	733
510	764	732
511	766	730
512	767	728
513	768	726
514	769	725
515	770	723
516	772	721
517	773	719
518	774	717
519	775	716
520	776	714
521	777	712
522	779	710
523	780	708
524	781	706
525	782	705
526	783	703
527	784	701
528	786	699
529	787	698
530	788	696
531	789	694
532	790	692
533	791	691
534	793	689
535	794	687
536	795	685
537	796	684
538	797	682
539	798	680
540	799	678
541	801	676
542	802	675
543	803	673
544	804	671
545	805	669
546	806	668
547	807	666
548	809	664
549	810	662
550	811	661
551	812	659
552	813	657
553	814	655
554	815	654
555	817	652
556	818	650
557	819	649
558	820	647
559	821	645
560	822	643
561	824	642
562	825	640
563	826	638
564	827	637
565	828	635
566	829	633
567	830	631
568	832	630
569	833	628
570	834	626
571	835	625
572	836	623
573	837	621
574	839	620
575	840	618
576	841	616
577	842	615
578	843	613
579	844	611
580	846	610
581	847	608
582	848	606
583	849	605
584	850	603
585	851	601
586	853	600
587	854	598
588	855	596
589	856	595
590	858	593
591	859	592
592	860	590
593	861	588
594	862	587
595	863	585
596	865	583
597	866	582
598	867	580
599	868	579
600	869	577
601	870	575
602	872	574
603	873	572
604	874	570
605	875	569
606	877	567
607	878	566
608	879	564
609	880	562
610	881	561
611	882	559
612	883	557
613	885	556
614	886	554
615	887	553
616	888	551
617	889	549
618	890	548
619	891	546
620	893	545
621	894	543
622	895	541
623	896	540
624	897	538
625	898	536
626	899	535
627	900	533
628	902	532
629	903	530
630	904	528
631	905	527
632	907	525
633	908	524
634	909	522
635	910	521
636	911	519
637	913	518
638	914	516
639	915	515
640	916	513
641	917	511
642	918	510
643	920	508
644	921	507
645	922	505
646	923	504
647	925	502
648	926	500
649	927	499
650	928	497
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	935	488
657	936	486
658	937	485
659	938	483
660	939	482
661	941	480
662	942	478
663	943	477
664	944	475
665	945	474
666	946	472
667	947	471
668	949	469
669	950	468
670	951	466
671	952	465
672	953	463
673	955	461
674	956	460
675	957	458
676	958	457
677	959	455
678	960	454
679	962	452
680	963	451
681	964	449
682	965	448
683	966	446
684	967	445
685	969	443
686	970	442
687	971	440
688	973	439
689	974	437
690	975	436
691	976	434
692	977	433
693	978	431
694	980	430
695	981	428
696	982	426
697	983	425
698	984	423
699	985	422
700	986	420
701	988	419
702	989	417
703	990	416
704	991	414
705	992	413
706	993	411
707	994	410
708	995	408
709	997	407
710	998	405
711	999	404
712	1000	402
713	1001	401
714	1002	399
715	1004	398
716	1005	396
717	1006	395
718	1007	393
719	1008	392
720	1010	390
721	1011	389
722	1012	387
723	1013	386
724	1014	384
725	1015	383
726	1017	381
727	1018	380
728	1019	378
729	1020	377
730	1021	375
731	1022	374
732	1024	373
733	1025	371
734	1026	370
735	1027	368
736	1028	367
737	1030	365
738	1031	364
739	1032	362
740	1033	361
741	1034	359
742	1036	358
743	1037	356
744	1038	355
745	1039	354
746	1040	352
747	1042	351
748	1043	349
749	1044	348
750	1045	346
751	1046	345
752	1047	343
753	1048	342
754	1050	340
755	1051	339
756	1052	337
757	1053	336
758	1054	334
759	1055	333
760	1056	331
761	1058	330
762	1059	329
763	1060	327
764	1061	326
765	1062	324
766	1063	323
767	1064	321
768	1066	320
769	1067	318
770	1068	317
771	1069	315
772	1070	314
773	1071	312
774	1072	311
775	1074	310
776	1075	308
777	1076	307
778	1077	305
779	1078	304
780	1080	302
781	1081	301
782	1082	299
783	1083	298
784	1084	297
785	1085	295
786	1086	294
787	1087	292
788	1089	291
789	1090	289
790	1091	288
791	1092	286
792	1093	285
793	1094	283
794	1095	282
795	1096	281
796	1098	279
797	1099	278
798	1100	276
799	1101	275
800	1102	273
801	1103	272
802	1105	271
803	1106	269
804	1107	268
805	1108	266
806	1110	265
807	1111	264
808	1112	262
809	1113	261
810	1114	259
811	1115	258
812	1116	256
813	1117	255
814	1119	254
815	1120	252
816	1121	251
817	1122	249
818	1123	248
819	1124	246
820	1125	245
821	1127	244
822	1128	242
823	1129	241
824	1131	239
825	1132	238
826	1133	237
827	1135	235
828	1136	234
829	1137	232
830	1138	231
831	1139	230
832	1140	228
833	1141	227
834	1143	225
835	1144	224
836	1145	223
837	1146	221
838	1147	220
839	1148	218
840	1149	217
841	1151	216
842	1152	214
843	1153	213
844	1154	211
845	1155	210
846	1156	208
847	1158	207
848	1159	206
849	1160	204
850	1161	203
851	1162	201
852	1163	200
853	1164	199
854	1166	197
855	1167	196
856	1168	194
857	1169	193
858	1170	192
859	1171	190
860	1173	189
861	1174	188
862	1175	186
863	1176	185
864	1178	183
865	1179	182
866	1180	181
867	1181	179
868	1182	178
869	1183	176
870	1185	175
871	1186	174
872	1187	172
873	1188	171
874	1189	169
875	1190	168
876	1191	167
877	1193	165
878	1194	164
879	1195	162
880	1196	161
881	1197	160
882	1198	158
883	1199	157
884	1201	156
885	1202	154
886	1203	153
887	1204	151
888	1205	150
889	1206	149
890	1207	147
891	1209	146
892	1210	145
893	1211	143
894	1212	142
895	1213	140
896	1214	139
897	1216	138
898	1217	136
899	1218	135
900	1219	133
901	1220	132
902	1221	131
903	1222	129
904	1224	128
905	1225	127
906	1226	125
907	1227	124
908	1228	123
909	1229	121
910	1231	120
911	1232	118
912	1233	117
913	1234	116
914	1235	114
915	1236	113
916	1237	112
917	1239	110
918	1240	109
919	1241	107
920	1242	106
921	1243	105
922	1244	103
923	1245	102
924	1246	101
925	1248	99
926	1249	98
927	1250	96
928	1251	95
929	1252	94
930	1253	92
931	1254	91
932	1256	90
933	1257	88
934	1258	87
935	1259	86
936	1260	84
937	1261	83
938	1262	82
939	1263	80
940	1265	79
941	1266	77
942	1267	76
943	1268	75
944	1269	73
945	1271	72
946	1272	71
947	1273	69
948	1274	68
949	1275	67
950	1276	65
951	1277	64
952	1279	63
953	1280	61
954	1281	60
955	1282	59
956	1283	57
957	1284	56
958	1285	54
959	1286	53
960	1288	52
961	1289	50
962	1290	49
963	1291	48
964	1292	46
965	1294	45
966	1295	44
967	1296	42
968	1297	41
969	1298	40
970	1299	38
971	1301	37
972	1302	36
973	1303	34
974	1304	33
975	1305	32
976	1306	30
977	1307	29
978	1309	28
979	1310	26
980	1311	25
981	1312	24
982	1313	22
983	1315	21
984	1316	20
985	1317	18
986	1318	17
987	1319	16
988	1320	14
989	1322	13
990	1323	12
991	1324	10
992	1325	9
993	1326	8
994	1327	6
995	1329	5
996	1330	4
997	1331	2
998	1332	1
999	1333	0
